system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,0.00019572483142837882,1.4584300515707582e-05,7.478943007299677e-05
reaction_diffusion,2,1.4940652363293339e-05,1.0625019967847038e-05,7.005182123975828e-05
reaction_diffusion,3,1.681034882494714e-05,1.4713279597344808e-05,6.484622281277552e-05
reaction_diffusion,4,1.997723120439332e-05,1.8379070752416737e-05,6.026326445862651e-05
reaction_diffusion,5,2.435779242659919e-05,2.32925740419887e-05,5.542450526263565e-05
reaction_diffusion,6,2.4151371690095402e-05,2.3786871679476462e-05,5.1096078095724806e-05
reaction_diffusion,7,2.6168738259002566e-05,2.5958841433748603e-05,5.0037328037433326e-05
reaction_diffusion,8,2.7885274903383106e-05,2.809601392073091e-05,4.5054039219394326e-05
reaction_diffusion,9,2.5491708584013395e-05,2.6731135221780278e-05,4.017947139800526e-05
reaction_diffusion,10,2.7951347874477506e-05,2.8886030122521333e-05,3.573919093469158e-05
reaction_diffusion,11,2.9572442144853994e-05,3.081301838392392e-05,3.171822754666209e-05
reaction_diffusion,12,3.133151403744705e-05,3.316290531074628e-05,2.8106835088692605e-05
reaction_diffusion,13,3.305964492028579e-05,3.4824050089810044e-05,2.730365304159932e-05
reaction_diffusion,14,3.3958924177568406e-05,3.567546445992775e-05,2.7525244149728678e-05
reaction_diffusion,15,3.358101821504533e-05,3.558157550287433e-05,2.4100259906845167e-05
reaction_diffusion,16,3.0588649678975344e-05,3.2531257602386177e-05,2.071780363621656e-05
