system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse
burgers,latent,5.033618972086099e+24,5.033751558059129e+24,3.3060251846598497e+24
burgers,state,371.8006591796875,368.92852783203125,98.29251098632812
burgers,latent_branch,3.8361946974014275e+24,3.8362950015723283e+24,2.5195698683554543e+24
burgers,hybrid_2,22.302579879760742,22.28306007385254,9.853256225585938
burgers,hybrid_4,40247824.0,40248800.0,24936602.0
burgers,hybrid_8,11757329317888.0,11757634453504.0,7330965487616.0
burgers,hybrid_16,1.0599430690039172e+23,1.0599706310336367e+23,6.543503277148111e+22
