system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,0.00027101580053567886,4.736762639367953e-05,7.49383179936558e-05
reaction_diffusion,2,8.147316839313135e-05,1.6578438589931466e-05,6.90201559336856e-05
reaction_diffusion,3,3.3194286515936255e-05,7.70052611187566e-06,6.216349720489234e-05
reaction_diffusion,4,2.0207800844218582e-05,6.302060228335904e-06,5.651127503369935e-05
reaction_diffusion,5,1.2755777788697742e-05,5.371690349420533e-06,5.4281546908896416e-05
reaction_diffusion,6,9.535881872579921e-06,4.940475719195092e-06,4.943630483467132e-05
reaction_diffusion,7,7.399328296742169e-06,4.356395493232412e-06,4.527111741481349e-05
reaction_diffusion,8,4.857366548094433e-06,3.072535491810413e-06,4.0512393752578646e-05
reaction_diffusion,9,3.371696493559284e-06,1.9659128156490624e-06,3.6381006793817505e-05
reaction_diffusion,10,2.581623903097352e-06,1.1770853234338574e-06,3.140616536256857e-05
reaction_diffusion,11,1.28604449400882e-06,4.5112793145563046e-07,2.8988461053813808e-05
reaction_diffusion,12,1.0560929695202503e-06,2.4240355855909e-07,2.539459637773689e-05
reaction_diffusion,13,1.0596752417768585e-06,3.943957835872425e-07,2.2635471395915374e-05
reaction_diffusion,14,1.1124421916974825e-06,7.003692985563248e-07,1.864513433247339e-05
reaction_diffusion,15,1.4435530601986102e-06,1.2860948572779307e-06,1.6300940842484124e-05
reaction_diffusion,16,2.0261636564100627e-06,1.965801402548095e-06,1.3146614946890622e-05
