system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse
reaction_diffusion,latent,0.0048143318854272366,0.008668084628880024,0.010134510695934296
reaction_diffusion,state,0.15614958107471466,0.2332790344953537,0.22717352211475372
reaction_diffusion,latent_branch,0.006859060376882553,0.013706525787711143,0.01854892261326313
reaction_diffusion,hybrid_2,0.05409329757094383,0.09977077692747116,0.07806260138750076
reaction_diffusion,hybrid_4,0.02309776283800602,0.053147174417972565,0.0568014532327652
reaction_diffusion,hybrid_8,0.009847012348473072,0.020692763850092888,0.024022608995437622
reaction_diffusion,hybrid_16,0.0060915653593838215,0.011319512501358986,0.01258214469999075
