system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
burgers,1,0.21983078122138977,0.023430222645401955,0.00046913945698179305
burgers,2,0.13955581188201904,0.016276586800813675,0.0003635773027781397
burgers,3,0.10128749907016754,0.012709267437458038,0.0003059059090446681
burgers,4,0.08880887925624847,0.011346214450895786,0.00027398744714446366
burgers,5,0.09211061894893646,0.011236777529120445,0.0002617551654111594
burgers,6,0.11291798949241638,0.01152464747428894,0.00027447869069874287
burgers,7,0.16801860928535461,0.012074694037437439,0.00031468880479224026
burgers,8,0.32662656903266907,0.014176318421959877,0.00040639538201503456
burgers,9,0.8206402659416199,0.016620643436908722,0.0006952617550268769
burgers,10,2.246737241744995,0.020257357507944107,0.0009234357858076692
burgers,11,6.333015441894531,0.023193424567580223,0.001015041721984744
burgers,12,18.211456298828125,0.023658016696572304,0.00111898104660213
burgers,13,52.64860534667969,0.025495512410998344,0.0011011367896571755
burgers,14,152.83877563476562,0.024766841903328896,0.0012501610908657312
burgers,15,439.2200622558594,0.02474786527454853,0.001237828633747995
burgers,16,1258.4970703125,0.025502590462565422,0.0012258179485797882
