system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse
heat,latent,0.007665245793759823,0.008651279844343662,0.009365519508719444
heat,state,2.02897047996521,3.882733106613159,4.232015609741211
heat,latent_branch,0.007619528565555811,0.008600386790931225,0.00932000856846571
heat,hybrid_4,0.1435575932264328,0.30595162510871887,0.3987995684146881
heat,hybrid_8,0.04407937824726105,0.08205549418926239,0.09152979403734207
heat,hybrid_16,0.018714996054768562,0.032409898936748505,0.03166569769382477
wave,latent,0.12413261830806732,0.16777174174785614,0.19484427571296692
wave,state,21.544105529785156,48.58406066894531,84.74482727050781
wave,latent_branch,0.12097838521003723,0.1616123765707016,0.18717730045318604
wave,hybrid_4,0.5931561589241028,1.1021279096603394,1.4231175184249878
wave,hybrid_8,0.24140460789203644,0.3858194649219513,0.4429836571216583
wave,hybrid_16,0.1566111147403717,0.229817733168602,0.2534821927547455
