system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
burgers,1,,,
burgers,2,,,
burgers,3,,,
burgers,4,,,
burgers,5,,,
burgers,6,,,
burgers,7,,,
burgers,8,,,
burgers,9,,,
burgers,10,,,
burgers,11,,,
burgers,12,,,
burgers,13,,,
burgers,14,,,
burgers,15,,,
burgers,16,,,
