system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,0.0004388393717817962,9.399018017575145e-05,6.914551340742037e-05
reaction_diffusion,2,0.00013188146112952381,4.075607284903526e-05,6.199430936248973e-05
reaction_diffusion,3,7.533760799560696e-05,2.644121923367493e-05,5.511039125849493e-05
reaction_diffusion,4,5.422237518359907e-05,2.1174706489546224e-05,4.9707101425156e-05
reaction_diffusion,5,4.557726060738787e-05,2.136257717211265e-05,4.4311444071354344e-05
reaction_diffusion,6,4.4390661059878767e-05,2.507271165086422e-05,3.880718213622458e-05
reaction_diffusion,7,4.8426169087179005e-05,3.155805097776465e-05,3.4897377190645784e-05
reaction_diffusion,8,5.358179987524636e-05,3.878350980812684e-05,2.9150560294510797e-05
reaction_diffusion,9,5.95504607190378e-05,4.764004916069098e-05,2.478157330187969e-05
reaction_diffusion,10,6.630554707953706e-05,5.6623186537763104e-05,2.0836836483795196e-05
reaction_diffusion,11,7.285028550541028e-05,6.502522592199966e-05,1.700606480881106e-05
reaction_diffusion,12,7.861858466640115e-05,7.325821934500709e-05,1.349761714664055e-05
reaction_diffusion,13,8.25126189738512e-05,7.918752817204222e-05,1.028198948915815e-05
reaction_diffusion,14,8.754651207709685e-05,8.48123017931357e-05,7.73365445638774e-06
reaction_diffusion,15,8.819632057566196e-05,8.702001650817692e-05,5.443563622975489e-06
reaction_diffusion,16,9.227606642525643e-05,9.152168786386028e-05,3.736373400897719e-06
