system,step,latent_damage_mse,state_damage_rel_mse,direct_ground_damage_rel_mse
reaction_diffusion,1,3.316914080642164e-05,6.485463472927222e-06,7.396015280392021e-05
reaction_diffusion,2,2.386425421718741e-06,1.8371573560216348e-06,6.732023757649586e-05
reaction_diffusion,3,3.119540679108468e-07,1.2266843896213686e-07,6.270958692766726e-05
reaction_diffusion,4,2.584204423783376e-07,1.3231091600118816e-07,5.8599809563020244e-05
reaction_diffusion,5,3.76413311187207e-07,3.191253199474886e-07,5.414714178186841e-05
reaction_diffusion,6,7.380911171139815e-08,2.1796164872966983e-08,4.954425457981415e-05
reaction_diffusion,7,2.1975503727844625e-07,1.6556823823066225e-07,4.445257582119666e-05
reaction_diffusion,8,6.653223749708559e-08,1.1406713795736323e-08,3.917744106729515e-05
reaction_diffusion,9,2.7592574269874603e-07,1.4847846330212633e-07,3.6364621337270364e-05
reaction_diffusion,10,3.535537871357519e-07,2.3499977430674335e-07,3.310732790851034e-05
reaction_diffusion,11,2.8720216960209655e-07,2.1091314295063057e-07,2.8343252779450268e-05
reaction_diffusion,12,6.309634841272782e-07,5.382506742535043e-07,2.370524816797115e-05
reaction_diffusion,13,1.2843971717302338e-06,1.2062981795679661e-06,1.9947008695453405e-05
reaction_diffusion,14,6.004991064401111e-07,4.663765480472648e-07,1.663358671066817e-05
reaction_diffusion,15,1.641461722101667e-06,1.52823997723317e-06,1.4532891327689867e-05
reaction_diffusion,16,1.9000199245056137e-06,1.7076160929718753e-06,1.3748314813710749e-05
