experiment,final_step_rel_mse,full_rel_mse,strategy,system,tail16_rel_mse
crossover_reaction_diffusion_ld24_rl64,0.0019600996747612953,0.002401948906481266,latent,reaction_diffusion,0.001820509321987629
crossover_reaction_diffusion_ld24_rl64,0.0026254334952682257,0.0025855794083327055,state,reaction_diffusion,0.0022417521104216576
crossover_reaction_diffusion_ld24_rl64,0.0034598582424223423,0.0032467851415276527,latent_branch,reaction_diffusion,0.003165732603520155
crossover_reaction_diffusion_ld24_rl64,0.0020455000922083855,0.002441201126202941,hybrid_2,reaction_diffusion,0.0019033116986975074
crossover_reaction_diffusion_ld24_rl64,0.001924256095662713,0.002404181519523263,hybrid_4,reaction_diffusion,0.0018198955804109573
crossover_reaction_diffusion_ld24_rl64,0.0019064194057136774,0.0023959882091730833,hybrid_8,reaction_diffusion,0.0018021108116954565
crossover_reaction_diffusion_ld24_rl64,0.0019107164116576314,0.0023952459450811148,hybrid_16,reaction_diffusion,0.001800007070414722
crossover_reaction_diffusion_ld24_rl80,0.0031114069279283285,0.002204206073656678,latent,reaction_diffusion,0.002475341781973839
crossover_reaction_diffusion_ld24_rl80,0.012174294330179691,0.005482588894665241,state,reaction_diffusion,0.009543540887534618
crossover_reaction_diffusion_ld24_rl80,0.0034550034906715155,0.002886553294956684,latent_branch,reaction_diffusion,0.0030690920539200306
crossover_reaction_diffusion_ld24_rl80,0.0071778022684156895,0.0037528073880821466,hybrid_2,reaction_diffusion,0.005631118081510067
crossover_reaction_diffusion_ld24_rl80,0.004238294903188944,0.002901547821238637,hybrid_4,reaction_diffusion,0.003596140770241618
crossover_reaction_diffusion_ld24_rl80,0.002913067815825343,0.0024483143351972103,hybrid_8,reaction_diffusion,0.002609588671475649
crossover_reaction_diffusion_ld24_rl80,0.002465742640197277,0.0021830759942531586,hybrid_16,reaction_diffusion,0.002189814345911145
crossover_reaction_diffusion_ld32_rl48,0.0018096264684572816,0.0027309423312544823,latent,reaction_diffusion,0.0019237046362832189
crossover_reaction_diffusion_ld32_rl48,0.0034049921669065952,0.0032174019142985344,state,reaction_diffusion,0.002912424271926284
crossover_reaction_diffusion_ld32_rl48,0.0023058366496115923,0.0030953302048146725,latent_branch,reaction_diffusion,0.0024292634334415197
crossover_reaction_diffusion_ld32_rl48,0.002239008666947484,0.0028632141184061766,hybrid_2,reaction_diffusion,0.0021870527416467667
crossover_reaction_diffusion_ld32_rl48,0.0019246835727244616,0.002772037172690034,hybrid_4,reaction_diffusion,0.0019995898474007845
crossover_reaction_diffusion_ld32_rl48,0.0018261563964188099,0.002741702366620302,hybrid_8,reaction_diffusion,0.0019400338642299175
crossover_reaction_diffusion_ld32_rl48,0.0018061704467982054,0.0027331437449902296,hybrid_16,reaction_diffusion,0.0019253988284617662
crossover_reaction_diffusion_ld32_rl64,0.0019007031805813313,0.0023743652272969484,latent,reaction_diffusion,0.001787013141438365
crossover_reaction_diffusion_ld32_rl64,0.014844272285699844,0.014678259380161762,state,reaction_diffusion,0.017161183059215546
crossover_reaction_diffusion_ld32_rl64,0.002370336325839162,0.002838532440364361,latent_branch,reaction_diffusion,0.0022961613722145557
crossover_reaction_diffusion_ld32_rl64,0.004425952676683664,0.0052518234588205814,hybrid_2,reaction_diffusion,0.005019742995500565
crossover_reaction_diffusion_ld32_rl64,0.002473649336025119,0.0031444646883755922,hybrid_4,reaction_diffusion,0.002573299454525113
crossover_reaction_diffusion_ld32_rl64,0.0020439859945327044,0.0026142823044210672,hybrid_8,reaction_diffusion,0.00200443877838552
crossover_reaction_diffusion_ld32_rl64,0.00195996998809278,0.0024722714442759752,hybrid_16,reaction_diffusion,0.00187862035818398
crossover_reaction_diffusion_ld32_rl80,0.0035433333832770586,0.0022154799662530422,latent,reaction_diffusion,0.002688963431864977
crossover_reaction_diffusion_ld32_rl80,0.049060456454753876,0.015273800119757652,state,reaction_diffusion,0.03471394628286362
crossover_reaction_diffusion_ld32_rl80,0.004220546223223209,0.0026291378308087587,latent_branch,reaction_diffusion,0.0032938269432634115
crossover_reaction_diffusion_ld32_rl80,0.034600742161273956,0.010358157567679882,hybrid_2,reaction_diffusion,0.022762905806303024
crossover_reaction_diffusion_ld32_rl80,0.016407951712608337,0.006269920151680708,hybrid_4,reaction_diffusion,0.011989797465503216
crossover_reaction_diffusion_ld32_rl80,0.008080452680587769,0.004155128262937069,hybrid_8,reaction_diffusion,0.006725700106471777
crossover_reaction_diffusion_ld32_rl80,0.004920553881675005,0.003073766129091382,hybrid_16,reaction_diffusion,0.004325597546994686
crossover_heat_ld16_rl48,0.11953100562095642,0.08202631771564484,latent,heat,0.10193271934986115
crossover_heat_ld16_rl48,21.331010818481445,3.9343035221099854,state,heat,9.794682502746582
crossover_heat_ld16_rl48,0.10797691345214844,0.07853520661592484,latent_branch,heat,0.09405595064163208
crossover_heat_ld16_rl48,2.0520825386047363,0.8181041479110718,hybrid_2,heat,1.612400770187378
crossover_heat_ld16_rl48,0.6704957485198975,0.31786778569221497,hybrid_4,heat,0.5533108711242676
crossover_heat_ld16_rl48,0.27310121059417725,0.166885107755661,hybrid_8,heat,0.2526467442512512
crossover_heat_ld16_rl48,0.15886326134204865,0.11161930114030838,hybrid_16,heat,0.156889408826828
crossover_heat_ld16_rl64,0.1504279375076294,0.0845264345407486,latent,heat,0.12639498710632324
crossover_heat_ld16_rl64,16.714366912841797,5.321522235870361,state,heat,13.063687324523926
crossover_heat_ld16_rl64,0.1399572342634201,0.08140967786312103,latent_branch,heat,0.11834178864955902
crossover_heat_ld16_rl64,3.1127443313598633,1.2952083349227905,hybrid_2,heat,2.6663308143615723
crossover_heat_ld16_rl64,1.1154416799545288,0.47288593649864197,hybrid_4,heat,0.9647257924079895
crossover_heat_ld16_rl64,0.3780153691768646,0.2063261866569519,hybrid_8,heat,0.35429251194000244
crossover_heat_ld16_rl64,0.19363641738891602,0.12372361123561859,hybrid_16,heat,0.19269613921642303
crossover_heat_ld16_rl80,0.11105534434318542,0.06290782243013382,latent,heat,0.09671713411808014
crossover_heat_ld16_rl80,12.733891487121582,4.461348533630371,state,heat,11.164803504943848
crossover_heat_ld16_rl80,0.10718106478452682,0.06180645152926445,latent_branch,heat,0.09368547797203064
crossover_heat_ld16_rl80,3.030942916870117,1.1164802312850952,hybrid_2,heat,2.5703980922698975
crossover_heat_ld16_rl80,0.9539427757263184,0.3994378447532654,hybrid_4,heat,0.8441977500915527
crossover_heat_ld16_rl80,0.3328532576560974,0.1772812306880951,hybrid_8,heat,0.31422170996665955
crossover_heat_ld16_rl80,0.16185447573661804,0.1018102690577507,hybrid_16,heat,0.16142140328884125
crossover_heat_ld24_rl48,0.09074240177869797,0.07937175035476685,latent,heat,0.08556530624628067
crossover_heat_ld24_rl48,18.68840217590332,5.001497268676758,state,heat,12.001301765441895
crossover_heat_ld24_rl48,0.08978217840194702,0.07900023460388184,latent_branch,heat,0.08484120666980743
crossover_heat_ld24_rl48,3.0933732986450195,1.045336365699768,hybrid_2,heat,2.21701717376709
crossover_heat_ld24_rl48,0.745983362197876,0.3464130163192749,hybrid_4,heat,0.605877161026001
crossover_heat_ld24_rl48,0.2951304614543915,0.18142876029014587,hybrid_8,heat,0.27309450507164
crossover_heat_ld24_rl48,0.16316963732242584,0.11953983455896378,hybrid_16,heat,0.16544808447360992
crossover_heat_ld24_rl64,0.08709503710269928,0.07199429720640182,latent,heat,0.08052556216716766
crossover_heat_ld24_rl64,18.247621536254883,7.943807601928711,state,heat,18.324926376342773
crossover_heat_ld24_rl64,0.08658763021230698,0.0718594342470169,latent_branch,heat,0.08013464510440826
crossover_heat_ld24_rl64,6.2703022956848145,1.8736823797225952,hybrid_2,heat,4.523216247558594
crossover_heat_ld24_rl64,1.5682703256607056,0.5840433239936829,hybrid_4,heat,1.3051515817642212
crossover_heat_ld24_rl64,0.43406009674072266,0.21767157316207886,hybrid_8,heat,0.3925361931324005
crossover_heat_ld24_rl64,0.17753280699253082,0.12152298539876938,hybrid_16,heat,0.1792210042476654
crossover_heat_ld24_rl80,0.0790015161037445,0.06680644303560257,latent,heat,0.07351028919219971
crossover_heat_ld24_rl80,149.0553741455078,23.499319076538086,state,heat,90.87703704833984
crossover_heat_ld24_rl80,0.07824484258890152,0.06665611267089844,latent_branch,heat,0.07305538654327393
crossover_heat_ld24_rl80,7.508098125457764,2.0233826637268066,hybrid_2,heat,5.7502875328063965
crossover_heat_ld24_rl80,1.3026007413864136,0.5058908462524414,hybrid_4,heat,1.1221612691879272
crossover_heat_ld24_rl80,0.3863827884197235,0.2119443118572235,hybrid_8,heat,0.3642304241657257
crossover_heat_ld24_rl80,0.17704737186431885,0.1253845989704132,hybrid_16,heat,0.1809234768152237
crossover_heat_ld32_rl48,0.08372750878334045,0.0851435661315918,latent,heat,0.08367212116718292
crossover_heat_ld32_rl48,8204.005859375,762.162109375,state,heat,2394.927001953125
crossover_heat_ld32_rl48,0.08369440585374832,0.08513978868722916,latent_branch,heat,0.08365994691848755
crossover_heat_ld32_rl48,29.61796760559082,5.340677738189697,hybrid_2,heat,14.779797554016113
crossover_heat_ld32_rl48,1.460705280303955,0.5041652321815491,hybrid_4,heat,1.0408231019973755
crossover_heat_ld32_rl48,0.31695276498794556,0.19011171162128448,hybrid_8,heat,0.29000723361968994
crossover_heat_ld32_rl48,0.1503267139196396,0.12059159576892853,hybrid_16,heat,0.15598297119140625
crossover_heat_ld32_rl64,0.07983960211277008,0.06980661302804947,latent,heat,0.07477530837059021
crossover_heat_ld32_rl64,185.31793212890625,31.311800003051758,state,heat,104.27432250976562
crossover_heat_ld32_rl64,0.0797940343618393,0.06980233639478683,latent_branch,heat,0.07475654780864716
crossover_heat_ld32_rl64,11.217438697814941,2.8527379035949707,hybrid_2,heat,7.843567848205566
crossover_heat_ld32_rl64,1.585478663444519,0.5680912137031555,hybrid_4,heat,1.2658538818359375
crossover_heat_ld32_rl64,0.3877786695957184,0.21536727249622345,hybrid_8,heat,0.3640443980693817
crossover_heat_ld32_rl64,0.17110119760036469,0.12205639481544495,hybrid_16,heat,0.17680390179157257
crossover_heat_ld32_rl80,0.07321089506149292,0.05955123156309128,latent,heat,0.06764436513185501
crossover_heat_ld32_rl80,56.28019332885742,11.372271537780762,state,heat,39.08013916015625
crossover_heat_ld32_rl80,0.07301510125398636,0.059538353234529495,latent_branch,heat,0.06757280975580215
crossover_heat_ld32_rl80,5.0507941246032715,1.4452382326126099,hybrid_2,heat,3.9106199741363525
crossover_heat_ld32_rl80,0.9563760161399841,0.40738645195961,hybrid_4,heat,0.8377823233604431
crossover_heat_ld32_rl80,0.3189390003681183,0.18706826865673065,hybrid_8,heat,0.3054564595222473
crossover_heat_ld32_rl80,0.1571856588125229,0.11255549639463425,hybrid_16,heat,0.16158775985240936
crossover_burgers_ld16_rl48,0.14698147773742676,0.08799619227647781,latent,burgers,0.11935483664274216
crossover_burgers_ld16_rl48,9.889001846313477,3.095386028289795,state,burgers,6.644678115844727
crossover_burgers_ld16_rl48,0.13718374073505402,0.08497796952724457,latent_branch,burgers,0.11281958967447281
crossover_burgers_ld16_rl48,2.152782678604126,0.8954459428787231,hybrid_2,burgers,1.6942473649978638
crossover_burgers_ld16_rl48,0.7667248249053955,0.3622356653213501,hybrid_4,burgers,0.6336094737052917
crossover_burgers_ld16_rl48,0.3355329632759094,0.18801048398017883,hybrid_8,burgers,0.29935210943222046
crossover_burgers_ld16_rl48,0.20197995007038116,0.12332292646169662,hybrid_16,burgers,0.18734052777290344
crossover_burgers_ld16_rl64,0.48907846212387085,0.16598038375377655,latent,burgers,0.32955726981163025
