system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse,run_name,seed,latent_dim,rollout_len
reaction_diffusion,latent,0.0026515955105423,0.003482574597001,0.0043112351559102,rd_seed7_ld16_rl80,7,16,80
reaction_diffusion,state,0.0172852333635091,0.0265549477189779,0.0295787099748849,rd_seed7_ld16_rl80,7,16,80
reaction_diffusion,latent_branch,0.0047529502771794,0.0056895175948739,0.0061453413218259,rd_seed7_ld16_rl80,7,16,80
reaction_diffusion,hybrid_2,0.0071979234926402,0.0104178246110677,0.0117182843387126,rd_seed7_ld16_rl80,7,16,80
reaction_diffusion,hybrid_4,0.0035333328414708,0.0043673408217728,0.0049396785907447,rd_seed7_ld16_rl80,7,16,80
reaction_diffusion,hybrid_8,0.0024805886205285,0.0027421412523835,0.0031115713063627,rd_seed7_ld16_rl80,7,16,80
reaction_diffusion,hybrid_16,0.0022522632498294,0.0024758775252848,0.0028745799791067,rd_seed7_ld16_rl80,7,16,80
reaction_diffusion,latent,0.0036360502708703,0.0056779203005135,0.0069103012792766,rd_seed7_ld16_rl96,7,16,96
reaction_diffusion,state,0.5168782472610474,0.8839004039764404,0.5854089856147766,rd_seed7_ld16_rl96,7,16,96
reaction_diffusion,latent_branch,0.0048744357191026,0.0065563945099711,0.0076238317415118,rd_seed7_ld16_rl96,7,16,96
reaction_diffusion,hybrid_2,0.0750524401664733,0.1083191335201263,0.1343034654855728,rd_seed7_ld16_rl96,7,16,96
reaction_diffusion,hybrid_4,0.0285200793296098,0.0422200113534927,0.0454806126654148,rd_seed7_ld16_rl96,7,16,96
reaction_diffusion,hybrid_8,0.0135149173438549,0.0244540218263864,0.0296918302774429,rd_seed7_ld16_rl96,7,16,96
reaction_diffusion,hybrid_16,0.0070599601604044,0.0132322050631046,0.0162610150873661,rd_seed7_ld16_rl96,7,16,96
reaction_diffusion,latent,0.0072627090848982,0.0163037069141864,0.0215825270861387,rd_seed7_ld16_rl112,7,16,112
reaction_diffusion,state,0.1753508895635604,0.1937063932418823,0.172572836279869,rd_seed7_ld16_rl112,7,16,112
reaction_diffusion,latent_branch,0.0102494787424802,0.0256115421652793,0.0410922802984714,rd_seed7_ld16_rl112,7,16,112
reaction_diffusion,hybrid_2,0.0832632258534431,0.1858514249324798,0.1868062168359756,rd_seed7_ld16_rl112,7,16,112
reaction_diffusion,hybrid_4,0.01765320263803,0.0445320568978786,0.0554253123700618,rd_seed7_ld16_rl112,7,16,112
reaction_diffusion,hybrid_8,0.0071211145259439,0.0151881426572799,0.0187594890594482,rd_seed7_ld16_rl112,7,16,112
reaction_diffusion,hybrid_16,0.0054655997082591,0.0107503402978181,0.0127083286643028,rd_seed7_ld16_rl112,7,16,112
reaction_diffusion,latent,0.0024058772251009,0.0025952549185603,0.0031175795011222,rd_seed7_ld20_rl80,7,20,80
reaction_diffusion,state,0.0046078893356025,0.0056695435196161,0.0074334810487926,rd_seed7_ld20_rl80,7,20,80
