system,strategy,full_rel_mse,tail16_rel_mse,final_step_rel_mse
heat,latent,0.006017862819135189,0.006828589364886284,0.007324724458158016
heat,state,78.72174835205078,232.1349334716797,553.47998046875
heat,latent_branch,0.006017862819135189,0.006828589364886284,0.007324724458158016
heat,hybrid_2,2.848017692565918,7.87688684463501,14.439719200134277
heat,hybrid_4,0.20975756645202637,0.4969538748264313,0.7424713373184204
heat,hybrid_8,0.045490119606256485,0.08864618837833405,0.10087147355079651
heat,hybrid_16,0.017385385930538177,0.03160232678055763,0.030853774398565292
wave,latent,0.06689876317977905,0.08358010649681091,0.09441541880369186
wave,state,51.01215744018555,133.65989685058594,294.4939270019531
wave,latent_branch,0.06643681973218918,0.08272694796323776,0.09336183965206146
wave,hybrid_2,2.9089035987854004,6.743261337280273,10.64767837524414
wave,hybrid_4,0.5041332244873047,0.9703319072723389,1.2712414264678955
wave,hybrid_8,0.19694049656391144,0.3275284767150879,0.3725311756134033
wave,hybrid_16,0.11106876283884048,0.17114850878715515,0.18078428506851196
burgers,latent,0.019005445763468742,0.03289562091231346,0.04937003552913666
burgers,state,40362.640625,122697.59375,596250.75
burgers,latent_branch,0.018967404961586,0.03281976655125618,0.049273423850536346
burgers,hybrid_2,13.700963973999023,39.49250030517578,100.57089233398438
burgers,hybrid_4,0.3724348545074463,0.8754227161407471,1.345491886138916
burgers,hybrid_8,0.08098278194665909,0.16602791845798492,0.21040627360343933
burgers,hybrid_16,0.034572161734104156,0.06682483851909637,0.08261844515800476
reaction_diffusion,latent,0.0026770897675305605,0.001921089249663055,0.0018616941524669528
reaction_diffusion,state,0.02365139126777649,0.04026234149932861,0.04756902903318405
reaction_diffusion,latent_branch,0.003762194886803627,0.0035388111136853695,0.0036017759703099728
reaction_diffusion,hybrid_2,0.008689051494002342,0.012605792842805386,0.01407025009393692
reaction_diffusion,hybrid_4,0.004519178997725248,0.005077660083770752,0.0052938093431293964
reaction_diffusion,hybrid_8,0.0032867626287043095,0.002928231144323945,0.0028693340718746185
reaction_diffusion,hybrid_16,0.002889508381485939,0.0022803505416959524,0.002164097735658288
