seed,runs,accuracy,mean_metric,mean_regret_vs_oracle
7,15,0.6,0.003959469698990327,0.00057826147725184
11,15,0.3333333333333333,0.003847705914328453,0.0004633907849590066
13,15,0.5333333333333333,0.003752435635154393,0.00046826531179248
ALL,45,0.4888888888888889,0.003853203749491059,0.0005033058580011089
