policy,mean_metric,mean_regret_vs_oracle,win_count,win_rate,oracle_mean_metric_reference
always_hybrid_16,0.003613484987161175,0.00026358709567122666,24,0.5333333333333333,0.003349897891489949
adaptive_selector,0.003853203749491059,0.0005033058580011089,22,0.4888888888888889,0.0033498978914899497
always_latent,0.004001697535730023,0.0006517996442400733,17,0.37777777777777777,0.003349897891489949
always_hybrid_8,0.004619575214261763,0.0012696773227718133,4,0.08888888888888889,0.003349897891489949
